frame_count,t_in_us,t_due_us,t_pub_us,published
508,36930260443,36930310443,36930310550,1
509,36930277158,36930327158,36930327500,1
510,36930293461,36930343461,36930343770,1
511,36930310120,36930360120,36930360388,1
512,36930326557,36930376557,36930376845,1
513,36930344029,36930394029,36930394148,1
514,36930360082,36930410082,36930410228,1
515,36930377099,36930427099,36930427206,1
516,36930393405,36930443405,36930443719,1
517,36930409906,36930459906,36930460188,1
518,36930426738,36930476738,36930476876,1
519,36930443975,36930493975,36930494131,1
520,36930460443,36930510443,36930510558,1
521,36930476553,36930526553,36930526834,1
522,36930493384,36930543384,36930543676,1
523,36930509887,36930559887,36930560182,1
524,36930527089,36930577089,36930577201,1
525,36930543932,36930593932,36930594168,1
526,36930560437,36930610437,36930610535,1
527,36930576744,36930626744,36930626861,1
528,36930593227,36930643227,36930643475,1
529,36930609927,36930659927,36930660196,1
530,36930626545,36930676545,36930676824,1
531,36930643730,36930693730,36930693897,1
532,36930660450,36930710450,36930710572,1
533,36930677078,36930727078,36930727231,1
534,36930693402,36930743402,36930743566,1
535,36930709907,36930759907,36930760186,1
536,36930726586,36930776586,36930776805,1
537,36930743277,36930793277,36930793610,1
538,36930760440,36930810440,36930810541,1
539,36930777060,36930827060,36930827249,1
540,36930793869,36930843869,36930843975,1
541,36930809935,36930859935,36930860231,1
542,36930826798,36930876798,36930876984,1
543,36930843273,36930893273,36930893575,1
544,36930860486,36930910486,36930910609,1
545,36930876648,36930926648,36930926965,1
546,36930893271,36930943271,36930943547,1
547,36930910108,36930960108,36930960369,1
548,36930926648,36930976648,36930976925,1
549,36930943243,36930993243,36930993524,1
550,36930960058,36931010058,36931010213,1
551,36930976630,36931026630,36931026908,1
552,36930993779,36931043779,36931043883,1
553,36931009902,36931059902,36931060191,1
554,36931027166,36931077166,36931077273,1
555,36931043491,36931093491,36931093592,1
556,36931059893,36931109893,36931110179,1
557,36931076700,36931126700,36931126824,1
558,36931093279,36931143279,36931143563,1
